Month,Category2,Sentence
200401,product/service,"mindful that trans-atlantic tourists expect pampering as much as procedures, more emphasis is being put on feel-good massages and beauty treatments."
200401,movie/play/tv,"full text: charlize theron pulls off an incredible transformation from blond beauty to serial killer, but the film's attempt to validate her actions doesn't work."
200401,pageant/fashion show/model,"""beauty pageants are the world's longest-running reality show."""
200401,magazine/book,"beauty or ugliness is referred to in 94 per cent of the grimms' fairy tales, with evil characters often being described as ugly."
200401,other,"parwais nasari, a 25-year-old cooking potato waffles at a kabul market stall, said he was sipping green tea after dinner with his family when salma appeared, singing a pashto-language ode to the beauty of the afghan mountains."
200401,other,"parwais nasari, a 25-year-old cooking potato waffles at a kabul market stall, said he was sipping green tea after dinner with his family when salma appeared, singing a pashto-language ode to the beauty of the afghan mountains."
200401,other,"the sudbury stained glass artisans is an organization that educates, enlightens and promotes the beauty of stained glass in our community."
200401,magazine/book,"but tales like cinderella, sleeping beauty and snow white are also sending strong messages about the importance of having a beautiful appearance, suggests a study sociologist liz grauerholz and women's studies professor lori baker-sperry, authors of the pervasiveness and persistence of the feminine beauty ideal in children's fairy tales."
200401,magazine/book,"in cinderella, the most reproduced of the tales, beauty in women was referred to 114 times."
200401,product/service,"the uber-pop starlet and ottawa entrepreneur randi shinder launched their ""kissable, lickable"" line of beauty products tuesday to a packed house of fashion and entertainment journalists in new york."
200401,other,"parwais nasari, a 25-year-old cooking potato waffles at a kabul market stall, said he was sipping green tea after dinner with his family when salma appeared, singing a pashto-language ode to the beauty of the afghan mountains."
200401,magazine/book,"in cinderella, the most reproduced of the tales, beauty in women was referred to 114 times."
200401,physical beauty,"""i think the message that's given to girls is that beauty is one of the most important traits for females in our society."
200401,magazine/book,"beauty or ugliness is referred to in 94 per cent of the grimms' fairy tales, with evil characters often being described as ugly."
200401,magazine/book,"beauty or ugliness is referred to in 94 per cent of the grimms' fairy tales, with evil characters often being described as ugly."
200401,physical beauty,"""i think the message that's given to girls is that beauty is one of the most important traits for females in our society."
200401,other,"""most people who have responded negatively or questioned this have not questioned the findings that beauty is really pervasive."
200401,other,"chiara's ugliness, her beguiling otherness, is balanced by the young sofanisba fabroni's beauty."
200401,other,"this motto is writ large on one wall of inform interiors, which has sat at 97 water street for 36 years, quietly extolling the hygienic beauty of contemporary design and the unassailability of what we call good taste."
200401,other,"creativity, a love of beauty and a desire to please her customers are the keys to her success."
200401,physical beauty,"although she refuses to be labelled the girl with a perfect face, she concedes that beauty is ""metamorphosing into this mutt of a girl who just happens to be me."""
200402,other,"""i wanted to portray the beauty in that, the way they've accepted the way that they are,"" she said."
200402,other,"""i wanted to portray the beauty in that, the way they've accepted the way that they are,"" she said."
200402,movie/play/tv,"full text: romance * movie beauty angelina jolie has struck up a romance with alexander costar jared leto, according to friends of cameron diaz's ex, reports imdb.com."
200402,magazine/book,"wolf, a former rhodes scholar and the author of best- selling books such as the beauty myth, is reported to make her allegations in a piece to be published in this week's issue of new york magazine."
200402,magazine/book,"few women can match the idealized beauty of the starlets the glamour artist alberto vargas once painted for esquire and playboy magazines, but it's still easier to aspire to an image that invites the amply-figured as well as the slender to apply."
200402,other,"full text: we might feel guilty when we stargaze, but it's fun to revel in beauty, fame and fortune."
200402,movie/play/tv,"she uses drab hair and brown contact lenses to disguise her famed perky beauty and plays a lonely schoolteacher, interrogated by a rough-edged irish- italian homicide detective (ruffalo) about a series of slice-and- dice killings in her neighbourhood."
200402,movie/play/tv,last tango in paris (1972) - a 45-year-old american widower living in paris (marlon brando) encounters an engaged 20-year-old parisian beauty (maria schneider).
200402,movie/play/tv,"she uses drab hair and brown contact lenses to disguise her famed perky beauty and plays a lonely schoolteacher, interrogated by a rough-edged irish- italian homicide detective (ruffalo) about a series of slice-and- dice killings in her neighbourhood."
200402,real beauty,"it is awesome that dove, a beauty product manufacturer, is also endorsing this, instead of showing emaciated models often used by young girls as role models."
200402,other,tickets are available at the harrison festival office at 604-796-3664 or at agassiz pharmasave and the valle school of beauty.
200402,other,full text: peru is investigating claims that a 22-year-old beauty pageant contestant was lured to the west african country of gabon to be seduced by the country's 67-year-old president omar bongo.
200402,pageant/fashion show/model,olga solovyova demonstrates her martial arts skill as she takes out a mock attacker during a beauty contest in moscow yesterday.
200402,magazine/book,"self-seduction: your ultimate path to inner and outer beauty, by mikki taylor, one word/ballantine, $44.95."
200402,magazine/book,"in self-seduction, taylor has brought together great information on the balance between beauty and spirit for african-american women and features everyday and famous women of all shades, shapes and sizes."
200402,magazine/book,"williams, patti labelle and other experts, self-seduction offers anecdotes, methods, tips and solutions for every beauty need."
200402,other,that's why so many men who are affected by feminine beauty are also so uncomfortable with it.
200403,other,i wanted him to be impressed with my brain before he saw my beauty.
200403,movie/play/tv,her roles included aurora in sleeping beauty and odette in swan lake.
200403,magazine/book,"tant, 39, leaves a vacancy at chatelaine, where she was the executive editor in charge of the magazine's fashion, beauty and home decor departments."
200403,magazine/book,"tant, 39, leaves a vacancy at chatelaine, where she was the executive editor in charge of the magazine's fashion, beauty and home decor departments."
200403,real beauty,beauty isn't always all it appears to be:.
200403,other,fabulous muscles is beauty and the beast rolled into one.
200403,other,"there were presentations from about a dozen spokespeople of various schools including the university of saskatchewan, university of regina, new media campus, western academy broadcasting college, siast, and marvel beauty school, among others."
200403,product/service,illustration colour rejuvenating masks in china: chinese women try on the latest beauty treatment -- rejuvenating masks -- at a promotion outside a department store in beijing.
200403,other,an enduring beauty's inner beasts.
200403,product/service,full text: beauty: tired of your old department store makeup?
200403,product/service,"starting thursday, you'll be able to shop for unique beauty potions at calgary's newest cosmetic and skin-care purveyors, quorra apothecary."
200404,product/service,this about a beauty shop run by queen where there's more interest in gossip than hairstyles.
200404,other,"lauder was among the first of the great beauty titans, men and women such as elizabeth arden, helena rubinstein and revlon's charles revson, who trafficked in hope."
200404,product/service,"big corporations, cosmetics and clothing companies soon began to see the marketing potentials of sponsoring beauty pageants because it was an easy way to sell their products, ms gentile said."
200404,other,"associated press / beauty, eh?: french performance artist orlan poses for a photographer thursday, in new york."
200404,product/service,"clinique's beauty noww spring collection brims with pink, from seashell pinks to tropical fuchsias."
200404,magazine/book,"in his novel live and let die, ian fleming describes solitaire (played by jane seymour in the 1973 film) thusly: ""part of the beauty of her face lay in its lack of compromise."
200404,real beauty,"we canothert compare all women to an old-fashioned, false and stereotypical ideal of feminine beauty -- this is damaging to women everywhere."
200404,pageant/fashion show/model,"""i want my sex life to go from blah to chick-a-boom!'' pronounces one self-described ""ugly duckling"" vying for top honours in the show's ultimate swan beauty pageant."
200404,other,"reluctantly, tad agrees to the date, for charity's sake, but soon finds himself quite taken with this wholesome and naive all-american beauty."
200404,other,"reluctantly, tad agrees to the date, for charity's sake, but soon finds himself quite taken with this wholesome and naive all-american beauty."
200404,pageant/fashion show/model,"though she's out of the beauty contest, ms pisklova's celebrity is still growing."
200404,magazine/book,"or so the story goes in chapter 2, thirty-some-odd-years of beauty secrets, from ruby's trailer park guide to livin' real good."
